Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1375383818130,-218,-428,2055,-1,-9,-4,1051616723,141380784,-55793420,154668489,-18089
1375383818132,-212,-432,2047,1,-6,-6,1051617079,141397085,-55800416,154648641,-18084
1375383818133,-203,-431,2050,3,-3,-7,1051617512,141418524,-55797109,154627287,-18079
1375383818135,-214,-441,2047,4,0,-9,1051619337,141438659,-55783546,154601351,-18074
1375383818135,-212,-439,2047,5,-1,-9,1051619997,141466239,-55773138,154575379,-18069
1375383818144,-221,-447,2046,6,-2,-9,1051620179,141496750,-55764924,154549174,-18064
1375383818144,-222,-448,2041,5,-3,-10,1051620796,141526116,-55760494,154519683,-18059
1375383818155,-224,-453,2046,5,-4,-8,1051620394,141555873,-55759786,154495417,-18053
1375383818155,-240,-454,2052,3,-5,-6,1051619712,141580586,-55763539,154476056,-18048
1375383818165,-255,-457,2045,2,-5,-4,1051618433,141602361,-55770291,154462363,-18043
1375383818165,-265,-466,2051,0,-4,-1,1051616592,141618477,-55778032,154457323,-18038
1375383818176,-265,-458,2053,-2,-6,0,1051615130,141627466,-55791137,154454306,-18033
1375383818176,-263,-457,2046,-2,-3,1,1051613818,141634064,-55796340,154455309,-18028
1375383818186,-255,-448,2054,-3,-2,1,1051613032,141637523,-55799018,154456518,-18023
1375383818186,-246,-447,2043,-3,0,2,1051612752,141635769,-55795992,154461125,-18018
1375383818193,-249,-443,2050,-3,3,1,1051613383,141633026,-55783261,154463942,-18012
1375383818193,-238,-436,2046,-1,4,1,1051613463,141634827,-55767263,154467524,-18007
1375383818231,-221,-438,2041,-1,3,-1,1051614405,141636470,-55752180,154465049,-18002
1375383818231,-208,-440,2046,0,5,-2,1051615806,141640369,-55728689,154460416,-17997
1375383818234,-208,-433,2045,0,6,-4,1051617785,141647236,-55702375,154450134,-17992
1375383818234,-209,-434,2051,1,7,-4,1051619622,141655699,-55673011,154440454,-17987
